	X426	X427	X458	X473	X474	X512	X517	X523	X524	X525	X526	X527	X533	X534	X538	X543	X544	X546	X548	X549	X550	X553	age	somy	region
D12H	0.467	0.741	1.06	0.445	0.447	0.855	1.085	1.384	1.294	0.728	1.668	1.112	1.587	0.695	1.477	0.766	0.708	0.808	0.678	0.908	1.105	1.106	12	D	H
D13H	1.699	1.345	0.566	0.529	0.577	1.064	0.426	0.668	0.736	1.29	0.762	0.704	1.61	0.713	1.225	0.984	0.707	0.754	0.992	0.821	0.923	1.258	12	D	H
D14H	0.723	0.54	0.509	0.69	0.57	0.282	1.147	0.866	0.855	0.766	1.062	1.33	1.274	1.349	1.407	1.058	0.815	0.574	0.861	0.846	1.406	0.551	12	D	H
D15H	1.284	1.24	0.751	0.879	0.833	1.666	1.705	0.43	0.317	1.258	0.476	0.408	0.867	1.396	0.833	0.951	0.862	1.035	0.872	0.946	0.842	0.837	12	D	H
A1C	1.14	0.892	0.87	0.377	0.501	0.446	0.547	0.867	1.103	1.523	0.791	0.6	1.321	0.799	0.714	0.833	0.526	0.611	0.514	0.635	0.765	0.578	6	T	C
A2C	1.129	0.968	1.598	1.161	1.185	0.512	1.086	0.882	0.621	0.874	0.388	0.46	1.084	1.143	0.675	1.174	0.868	0.86	0.918	0.764	0.737	0.693	6	T	C
A3C	0.727	0.671	1.183	0.805	1.27	1.087	1.46	1.133	1.225	0.365	1.066	1.185	0.926	0.294	0.898	1.088	1.592	0.738	1.068	1.245	1.225	0.801	6	T	C
A4C	1.261	0.992	1.248	0.553	1.301	0.647	1.435	1.065	1.226	0.641	0.864	1.053	0.462	0.362	0.81	1.024	1.183	0.808	0.574	0.672	0.845	0.678	6	T	C
A5C	1.414	1.094	0.796	0.704	1.125	1.347	1.067	0.873	0.982	1.384	0.86	0.787	1.218	0.935	1.065	1.271	1.273	1.155	1.035	1.15	1.153	1.338	6	T	C
A6C	0.954	1.706	0.693	0.811	1.253	0.727	0.727	0.827	0.789	1.009	1.067	1.012	1.232	1.873	1.641	1.295	0.772	1.579	1.305	0.797	1.307	1.536	6	T	C
A7C	0.775	0.925	0.536	2.161	1.037	0.328	0.72	1.201	1.239	0.935	1.701	1.509	1.147	0.642	1.61	1.128	1.003	1.334	1.748	1.806	1.041	1.541	6	T	C
A8C	0.617	0.848	0.74	1.532	0.845	0.531	0.763	0.989	0.721	0.775	1.006	1.148	0.752	0.964	1.06	0.476	1.024	1.534	1.084	1.232	0.899	1.644	6	T	C
B1C	1.927	1.68	1.254	0.686	1.149	0.623	1.008	0.436	0.461	1.24	1.406	0.959	0.943	1.749	1.16	2.324	0.641	0.559	0.541	0.787	0.667	0.488	12	T	C
B2C	1.302	1.905	1.216	0.517	0.806	0.4	1.174	0.421	0.315	0.672	0.25	0.071	0.415	0.511	0.387	0.536	0.247	0.309	0.287	0.337	0.298	0.286	12	T	C
B3C	0.756	1.021	1.016	0.536	1.18	2.404	1.395	1.361	1.346	1.107	0.215	0.477	0.924	0.547	0.806	2.154	0.608	0.669	0.571	0.491	1.546	1.055	12	T	C
B4C	0.981	1.272	0.854	0.566	0.951	0.275	1.42	0.805	0.543	1.311	1.041	0.945	0.833	1.408	0.889	1.105	0.797	0.784	1.194	1.055	1.134	0.719	12	T	C
B5C	0.717	0.565	0.942	0.329	0.243	0.437	1.203	0.531	0.418	0.461	0.597	0.536	0.992	0.461	1.741	0.427	0.394	0.67	0.647	0.52	1.034	0.651	12	T	C
B6C	0.227	1.349	0.77	0.803	0.902	0.692	0.777	0.818	0.519	0.952	1.231	0.866	0.696	1.943	0.504	0.794	0.526	0.944	0.743	0.629	0.746	0.71	12	T	C
B7C	0.566	0.502	1.261	0.982	0.668	0.476	0.723	0.724	0.351	0.629	2.043	1.278	0.374	0.58	0.378	0.9	0.3	1.307	0.729	0.699	0.484	1.05	12	T	C
B8C	0.765	0.529	0.89	0.606	0.905	0.402	0.849	0.624	0.592	0.704	0.737	0.747	0.32	0.573	0.424	1.097	0.573	0.562	0.518	0.649	0.645	0.684	12	T	C
B9C	0.923	0.999	3.378	0.778	1.206	0.428	0.853	0.558	0.66	1.197	0.486	0.531	0.579	0.694	0.695	2.411	0.906	0.822	0.828	0.881	1.572	0.987	12	T	C
B10C	0.612	0.599	1.04	0.627	0.719	0.633	0.754	0.63	0.478	0.798	0.971	0.812	0.76	0.428	0.725	0.752	0.615	0.78	0.567	0.723	0.887	0.732	12	T	C
B11C	0.264	0.339	1.07	0.969	0.762	0.881	2.687	0.363	0.154	1.433	0.65	0.354	0.481	0.704	0.241	0.876	0.275	0.47	0.682	0.59	0.372	0.531	12	T	C
B12C	1.616	0.66	0.222	1.682	1.143	0.861	1.236	0.733	0.451	0.287	3.102	1.79	0.542	0.812	0.701	1.183	0.154	2.079	1.471	0.475	0.396	1.274	12	T	C
B13C	1.456	0.648	0.962	1.803	1.207	0.807	1.2	0.599	0.308	1.486	1.834	1.106	0.56	0.785	0.747	0.842	0.464	1.164	1.289	1.126	0.712	1.534	12	T	C
B14C	1.307	0.923	23.968	0.787	0.942	1.662	0.802	0.574	0.635	0.842	0.272	0.407	0.486	0.734	0.77	2.095	1.09	1.19	1.154	1.317	0.97	0.898	12	T	C
C1C	0.832	0.829	0.716	0.249	0.433	0.417	1.085	0.865	1.066	1.158	0.754	0.612	1.13	0.64	0.559	0.614	0.423	0.338	0.376	0.472	0.491	0.312	6	D	C
C2C	1.097	0.985	1.025	1.126	1.031	2.625	1.251	1.028	0.873	0.638	0.789	0.691	1.318	1.238	0.856	0.977	1.059	0.895	0.955	0.86	1.008	0.782	6	D	C
C3C	0.523	0.668	0.641	0.667	1.047	0.867	1.01	1.048	1.083	0.211	0.994	1.142	0.912	0.323	0.918	0.975	1.408	0.808	1.151	1.217	1.214	0.933	6	D	C
C4C	1.008	0.909	1.314	0.638	1.202	0.775	1.258	1.131	1.183	1.796	1.048	1.17	0.385	1.212	0.769	1.157	1.056	0.719	0.67	0.707	0.926	0.584	6	D	C
C5C	1.104	0.683	0.622	0.631	0.916	1.296	1.024	0.977	1.152	0.931	0.915	0.914	1.226	0.661	0.993	1.02	1.297	1.077	1.011	1.148	1.157	1.254	6	D	C
C6C	0.997	1.479	0.742	0.944	1.315	1.068	0.899	0.772	0.684	1.061	1.039	0.958	1.026	2.041	1.338	1.445	0.725	1.547	1.247	0.754	1.182	1.514	6	D	C
C7C	1.562	1.16	0.664	2.16	1.11	0.278	0.7	1.189	1.226	1.019	1.368	1.408	1.255	0.605	1.652	1.119	1.099	1.373	1.734	1.764	1.089	1.348	6	D	C
C8C	0.876	1.286	2.275	1.585	0.945	0.674	0.773	0.991	0.733	1.186	1.094	1.105	0.746	1.28	0.916	0.693	0.934	1.242	0.857	1.078	0.932	1.274	6	D	C
D1C	8.944	6.328	2.562	0.52	1.337	0.287	0.378	0.581	0.694	0.951	1.739	0.954	1.284	1.473	1.439	2.023	0.883	1.013	0.953	1.199	1.124	0.949	12	D	C
D2C	0.986	1.317	1.139	0.564	0.727	0.324	1.127	0.38	0.281	0.61	0.284	0.097	0.406	0.507	0.497	0.533	0.246	0.291	0.334	0.358	0.327	0.318	12	D	C
D3C	0.752	0.772	0.931	0.9	1.194	1.659	0.933	1.5	1.612	0.923	0.425	0.481	1.134	0.643	0.948	2.523	0.884	1.104	0.7	0.582	1.773	1.1	12	D	C
D4C	0.814	1.097	0.701	0.433	0.894	0.265	1.91	0.743	0.453	1.277	0.942	0.855	0.721	1.291	0.725	1.03	0.651	0.663	1.001	0.906	0.981	0.551	12	D	C
D5C	0.728	0.498	1.083	0.474	0.221	0.422	0.48	0.546	0.439	0.505	0.567	0.51	0.884	0.506	1.649	0.614	0.38	0.646	0.704	0.572	0.88	0.874	12	D	C
D6C	0.192	1.159	0.79	1.123	0.771	0.592	0.82	0.51	0.186	0.739	1.488	0.835	0.574	1.523	0.351	0.747	0.236	1.027	0.76	0.475	0.468	0.864	12	D	C
D7C	1.146	0.716	1.97	1.087	0.789	0.508	0.67	0.803	0.42	0.89	2	1.357	0.419	0.803	0.39	1.062	0.337	1.607	0.764	0.757	0.521	1.206	12	D	C
D8C	0.73	0.521	0.711	0.508	0.835	0.278	0.572	0.495	0.459	0.615	0.611	0.639	0.344	0.505	0.368	0.964	0.427	0.674	0.497	0.552	0.593	0.685	12	D	C
D9C	0.462	0.735	1.436	0.716	1.111	0.502	0.995	0.71	0.829	1.666	0.62	0.758	0.799	0.887	0.897	3.151	1.138	1.364	1.004	1.127	1.811	1.36	12	D	C
D10C	0.713	0.821	0.884	0.469	0.66	0.544	1.278	0.56	0.408	0.548	0.926	0.766	0.591	0.226	0.605	1.161	0.548	0.532	0.484	0.595	0.934	0.515	12	D	C
D11C	0.43	0.381	0.606	0.888	1.006	0.768	1.236	0.563	0.302	1.905	0.513	0.406	0.815	0.762	0.536	1.37	0.665	0.703	0.86	0.978	0.683	0.608	12	D	C
D12C	1.571	0.619	0.269	1.461	1.038	0.631	1.001	0.723	0.416	0.314	3.023	1.687	0.539	0.881	0.693	1.196	0.18	2.139	1.48	0.495	0.347	1.362	12	D	C
D13C	1.137	0.694	0.438	1.504	0.911	1.041	1.726	0.824	0.421	1.022	2.746	1.665	0.584	0.775	0.891	0.715	0.543	1.224	1.608	1.396	0.844	1.837	12	D	C
D14C	0.59	0.514	23.605	0.698	0.754	1.263	1.358	0.729	0.73	0.761	0.289	0.554	0.506	0.67	0.755	1.61	1.161	1.012	1.074	1.408	1.054	0.875	12	D	C
